timestamp,open,high,low,close,volume,close_timestamp,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date
1750545000000000,101903.8,101944.54,101897.51,101920.31,7.74545,1750545059999999,789409.3547706,2305,5.79088,590197.8673253,0,2025-06-21 22:30:00+00:00
1750545060000000,101920.32,101923.5,101857.88,101910.19,6.78775,1750545119999999,691645.9201752,3424,4.26535,434621.0068254,0,2025-06-21 22:31:00+00:00
1750545120000000,101910.2,101912.9,101887.15,101887.16,6.00467,1750545179999999,611899.3878479,2342,1.39163,141807.5931269,0,2025-06-21 22:32:00+00:00
1750545180000000,101887.15,101912.9,101886.52,101912.9,4.54683,1750545239999999,463316.6442586,2278,2.64457,269474.8974066,0,2025-06-21 22:33:00+00:00
1750545240000000,101912.9,101912.9,101841.24,101846.7,5.43666,1750545299999999,553825.0837129,2421,1.50461,153256.2731351,0,2025-06-21 22:34:00+00:00
1750545300000000,101846.7,101904.0,101846.69,101867.37,9.388,1750545359999999,956353.1246943,2814,5.39068,549105.7125602,0,2025-06-21 22:35:00+00:00
1750545360000000,101867.37,101904.0,101865.32,101874.26,10.66723,1750545419999999,1086856.0384367,2911,7.99273,814331.5225618,0,2025-06-21 22:36:00+00:00
1750545420000000,101874.26,101888.94,101870.33,101870.34,3.48958,1750545479999999,355538.0254243,1250,0.987,100558.6474472,0,2025-06-21 22:37:00+00:00
1750545480000000,101870.33,101870.35,101788.75,101788.75,11.32562,1750545539999999,1153584.2956635,2458,1.39056,141644.407411,0,2025-06-21 22:38:00+00:00
1750545540000000,101788.75,101788.75,101672.0,101759.59,23.8153,1750545599999999,2422737.9291092,5304,13.90401,1414332.1016385,0,2025-06-21 22:39:00+00:00
1750545600000000,101759.6,101786.94,101724.64,101740.0,9.20443,1750545659999999,936647.5141351,3773,5.3294,542309.7669453,0,2025-06-21 22:40:00+00:00
1750545660000000,101740.0,101758.03,101697.52,101740.2,36.67414,1750545719999999,3730707.3287531,4036,9.30309,946265.1292694,0,2025-06-21 22:41:00+00:00
1750545720000000,101740.19,101786.46,101740.19,101740.75,11.72311,1750545779999999,1192910.0500807,2505,4.19681,427034.0767596,0,2025-06-21 22:42:00+00:00
1750545780000000,101740.76,101750.01,101640.01,101652.45,6.84956,1750545839999999,696596.7523633,4298,1.7275,175652.5642386,0,2025-06-21 22:43:00+00:00
1750545840000000,101652.6,101682.56,101610.0,101682.56,15.43297,1750545899999999,1568721.3419872,3802,10.75771,1093462.7581314,0,2025-06-21 22:44:00+00:00
1750545900000000,101682.56,101704.35,101655.9,101655.91,4.72661,1750545959999999,480621.4268829,2237,1.78185,181189.6085148,0,2025-06-21 22:45:00+00:00
1750545960000000,101655.91,101655.91,101610.0,101624.4,9.32238,1750546019999999,947444.5339599,2042,3.31272,336627.3654718,0,2025-06-21 22:46:00+00:00
1750546020000000,101624.51,101691.41,101624.51,101687.1,8.82221,1750546079999999,896936.1625802,3288,5.80948,590646.0772538,0,2025-06-21 22:47:00+00:00
